Id,Employer,Jobtitle,Startdate,Enddate,Salary,Location,Experience,Specialization,description,no
920,obio/akpor local government council,corper,Jul-2011,Jun-2012,NULL,NULL,1,Secreatry,"Work as an assistant to the Director and handle all in-coming and out-going mails. Draw up memos, write reports for meetings. General office soft and hard copy documentations and other duties as assigned.",5744
921,Stripes Synergy Nigeria Limited,Sales Supervisor,Aug-2012,Dec-2012,NULL,NULL,0,Marketing,"Supervise sales, draw of marketting strategies,handle all business registration and matters arising. Oversee audit.",5744
922,Grand Travel Planners Pvt Ltd.,Accounts Executive,Jul-2012,-,NULL,NULL,-2012,Finance,,3041
923,AMEX DRILLING AND TECHNICAL SERVICES INTERNATIONAL; ENUGU,WELL-HEAD GEOLOGIST II (2011-2012)     ,May-2010,Oct-2012,NULL,NULL,2,Oil &amp; Gas," Competencies
        Planning
•	Part of well construction team in planning of well
•	Providing input on logging tools and additional measurement required to successfully execute the well
Operations
•	Onsite execution of well plan
•	Generating  daily geological report in well operations
•	Part of supervision of  geological operation logs in the absence of the senior well site geologist
•	Maintaining close coordination with drilling personnel during operations
        Post Appraisal
•	Providing final report on geological operations including recommendations for improvement to the senior well site geologist.
•	Sending  of report to the Head of Operations after critical decision  and permission by the senior well site  geologist
",1339
925,"PENTRACK CONSTRUCTION COMPANY; ENUGU, NIGERIA.",ENGINEERING GEOLOGIST  II,Mar-2009,Aug-2011,NULL,NULL,2,Construction,"Competencies
•	Consulting geological maps and aerial photographs to advise on site selection;
•	Assisting with the design of built structures, collating data and producing reports;
•	Overseeing the progress of specific contracts;
•	Planning detailed field investigations by drilling and analyzing samples of bedrock/deposits;
•	Supervising site/ground investigations and budgets;
•	Making visits to new project sites;
•	Advising on and testing a range of construction materials, for example sand, gravel, brick and clay;
•	Making recommendations on the proposed use of a site and providing information;
•	Advising on problems such as subsidence;
•	Work in collaboration with other engineering geologists, geotechnical engineers, consultants and contractors.
        
",1339
927,"RURAL WATER SUPPLY AND SANITATION AGENCY; KANO, NIGERIA.",EXPLORATION ASSISTANT/ MUD-LOGGING GEOLOGIST,May-2006,Sep-2008,NULL,NULL,2,Construction," Competencies
•	Monitor speed of rotation, rate of penetration, pump rate, pit levels, cutting rate, mud flow rate.
•	Collecting, processing, logging and analyzing geological samples;
•	Monitor computer recordings of drilling;
•	Interpreting information and feeding it to the drilling team to enhance safety and success;
•	Taking on the primary health and safety role for the well through constant monitoring  of all critical drilling parameters;
•	Predicting dangerous situations such as over-pressured formations;
•	Reporting to the exploration manager and management in written reports;
•	Reconnaissance survey of all fields where exploration and drilling are to take place;
•	Collecting field geophysical investigation data (Resistivity Method);
•	Aquifer evaluation.
",1339
929,"CONTINENTAL RISKS CARE LIMITED; ENUGU, KANO, PORT-HARCOURT, NIGERIA.",PROJECT MANAGEMENT OFFICER ,Jun-2004,Dec-2006,NULL,NULL,2,Banking,"Competencies
•	Planning, resource allocation, process implementation and evaluation;
•	Attention to detail, self motivated, time managed and understanding of operational and technical interdependencies;
•	Multi-platform data management, manipulation and integration;
•	Project supervision, initiating processes, procedures, best practices and workflows across departments
_____________________________________________________________________________________
",1339
930,manager,dunamis golden merit factory,Apr-2011,Dec-2012,NULL,NULL,1,IT-Hardware,Graphics,3597
931,Kenya Defence Forces,System Administrator,Oct-1997,Jul-2009,NULL,NULL,12,IT-Hardware,"•	Responding to users requests and assisting in deploying/configuring systems so as to conform to infrastructure standards- providing support by assisting computer users in day to day basis.
•	Maintenance of systems and equipment by carrying out routine tasks such as backing up data, monitoring network and systems, servers and peripherals, running systems diagnostics, patch management and system optimization, removing viruses and bad data.
•	Troubleshooting and maintenance of the LAN/WAN with servers running in both Windows server 2003/2008 and Linux OS environment.
•	Setting up and managing both windows & Linux virtual machines (in SUSE and RedHat).
•	Administration & configuration of Alfresco Data Management system, Pretty Good Privacy (PGP), Scalix and Zimbra mailing systems.
•	Troubleshooting and maintenance of PC, Laptops and Printers repair.
•	Administer and maintain IT inventory
",5636
932,Kenya Air Ways,ICT Officer,Aug-2009,-,NULL,NULL,-2009,IT-Hardware,"•	Providing Helpdesk /end users support in Standard PC application Software.
•	Providing ICT support in conference rooms.
•	Discretion in dealing with confidential information.
•	Deploying system software and installing updates as required.
•	Facilitating LAN/Wi-Fi access for users.
•	Deploying, maintaining and configuring PC’s/Laptops and associated peripherals.
•	Virtualization skills -Setting up VMware systems and their overall administration.
•	Setting and administering different Windows Operating Systems/Server & Linux (RedHat, SuSe etc).
•	Performing Computer Forensic duties.
",5636
933,eagle search services of nigeria,data collation officer,Sep-2011,Dec-2011,NULL,NULL,0,Consulting,,5843
934,ACCESS BANK NIG PLC,TELLER,Aug-2010,Jan-2013,NULL,NULL,3,Finance,,3977
935,ACCESS BANK NIG PLC,TELLER,Aug-2010,Jan-2013,NULL,NULL,3,Finance,"Accept cash deposits,payment of cheque and cash withdrawal,fund transfer,custom duties payment, cash movement.(cit)inter state cit,cash supply and evacuation,recording of vault register.",3977
936,Integrated Microfinance Bank,Profit Centre Manager,Apr-2007,Sep-2009,NULL,NULL,2,Banking,,675
938,"Gee-Myke Technologies,Ota,Ogun State",IT Administrator,Jul-2011,Apr-2012,NULL,NULL,1,IT-Hardware,"•	Installing and Maintaining Computer Systems
•	Dealing Directly with customers on Technical issues
•	Hardware and Software Troubleshooting 
•	General IT Administration
",3150
939,"Appzone Limited, Yaba Lagos",Bankone(Banking Automation Software)Implementation Officer,Mar-2012,Feb-2013,NULL,NULL,1,IT-Project,"•	Configuration of the software service for use by designated financial institution(mostly banks)
•	Migration the financial institution’s trial balance ,GL accounts,balance sheet  and other financial information
•	Setting up fixed assets register and payroll
•	Training of relevant Staffs of the designated financial institutions on the  usage of the software service
•	Provision of Post Implementation Technical assistance to financial institutions  on the platform
",3150
940,INEC,"Presiding Officer,April 2011 General Elections",Mar-2011,Apr-2011,NULL,NULL,0,Secreatry,"In charge of all proceedings at the polling station on the Election Day including the voting and counting of voters.
(ii) Take delivery of all materials for the elections from the SPO and keep them securely especially the sensitive materials, such as the ballot papers result forms.
(Iii)   Submit the result of the poll to the Registration Area-RA (Ward) Collation  
         Officer.


(iv)     Return all election materials to the SPO at the RA (Ward) collation centre for 
    delivery to the Electoral Officer after elections.
(v)   Report any security incident to the security agents at the polling station and 
   where necessary, invite the police or security agents to maintain order,
",5871
941,PHCN,I.T(SIWES),Mar-2008,Jun-2008,NULL,NULL,0,Production," Assist with housekeeping daily.
 Safe utilization of company resources.
 Troubleshoot, repair and assist in maintenance of all plant electrical   equipments as required supporting plant operation.
Provide a realistic and result-oriented proven quality control plan from active, proactive.
  Key characteristics and critical role that augments the overall safety.
Maintain a clean and safe shop and plant environment.
Moreover, increase the availability and avert unforeseen technical and unintended consequences.

Responsible for all plant electrical maintenance.
Take into consideration and produce the reliability of the power plant.
",5871
942,"Sona Breweries,Ota",I.T(SIWES),Jun-2008,Sep-2008,NULL,NULL,0,Production,"    Ascertain and notify fairly in advance, the time (date) of the plant approaching their periodic maintenance.
    Follow the instructions from superiors. Maintain clean work place and adhere to safe power work principles.
    Take necessary and quick measures to ensure the operational safety.
Ensure safe smooth and un-interrupted operations of the plant and the plant equipments.
    Respond correctly to the operational alarms and indications timely during the shift.
Carry out daily inspections of all plant equipments and premises during the shift, notify and rectify the abnormalities observed
",5871
943,Alliance Capital Management Ltd,"Account Executive,Risk Management Department ",Oct-2005,Dec-2006,NULL,NULL,1,Consulting,"Liaising with clients on investments in the stock market.
Managing corporate accounts.
Clearing clients for loans from the company for investment.",4750
946,"Qmb Builders Mart,Nigeria Ltd",Legal/Admin Executive,Dec-2006,Mar-2008,NULL,NULL,2,Construction,"Handled all internal and external contracts the company was a signor to.
Handled recruitment of staff.
Ensured compliance with all relevant statutes
Handled Administrative duties of the company.
Oversaw all HR related functions including remuneration,leaves,staff discipline and termination.",4750
947,Artezia security systems,"Unit Head,Admin,HR and CRM",Apr-2008,Oct-2008,NULL,NULL,0,HR,"Handled all internal and external contracts the company was signatory to.
Handled Administrative duties of the company including liaisons with suppliers and contractors.
Oversaw all HR related functions including remuneration,leaves,staff discipline and termination.
Established the customer relationship management department.",4750
948,ENTERPRISE BANK LIMITED,STORE ADMINISTRATOR,Jul-2012,Feb-2013,NULL,NULL,1,Banking," - Treatment of stocks according to requests
 - Daily stock dispensing according to request from   portal
 - Monthly stock taking and balancing
 - Stock replenishment
",3114
949,ENTERPRISE BANK LIMITED,P.A/SECRETARY TO ED RISK MANAGEMENT,Sep-2011,Jul-2012,NULL,NULL,1,Banking," -SCHEDULE APPOINTMENTS WITH VISITORS ON     
  BEHALF OF THE E.D
-RELATION OFFICER FOR THE E.D 
-REMINDING THE E.D OF BOOKED  APPOINTMENTS
-IN CHARGE OF FILES AND RECORDS FOR THE E.D 
",3114
953,ENTERPRISE BANK LIMITED,MARKETER/P.A/SECRETARY TO NETWORK EXECUTIVE,Jun-2008,May-2009,NULL,NULL,1,Banking,"- Collation of reports from all the branches 
- Production of daily CABA reports
- Preparation of weekly reports for the management meetings    
- Marketing of the bank’s products and services
- Preparation of the weekly activity report for all the branches  Under the network.
- Account solicitation and deposit mobilization
- Marketing the banks’ products and services to existing and Prospective customers
-Marketing of Bureau De Change and other Financial Institutions accounts.
- Resuscitation of dormant accounts
- Close monitoring of credit relationships
- Recovering of loans and advances.

",3114
952,ENTERPRISE BANK LIMITED,PAYROLL OFFICER,May-2009,Sep-2011,NULL,NULL,2,Banking,"- In charge of payment and compensation of all contract staff benefits - Also participate in the employment process of contract staff - In charge of all the statutory remittances of all contract staff - Payment of contract staff supplementary salaries through Finacle - Inter-branch money transfer through Finacle - Processing of contract staff insurance claims - Also conducts staff documentations, ensuring that the records are up -to- date. - Reconciliation of the unit’s account ",3114
954,ENTERPRISE BANK LIMITED,TELLER,Jun-2008,May-2009,NULL,NULL,1,Banking,"Cash deposit collection from customers and posting
                                 -Cash dispensing on counter to customers and various postings
                                 -Cash balance inquiry from customers as regards to various       
                                   accounts
                                 -Reconciliation of system balance and book balance of all                 
                                   receipts and payments for the day
",3114
955,FLEXMORE TECHNOLOGY,ACCOUNT EXECUTIVE,Oct-2006,Jul-2008,NULL,NULL,2,IT-Hardware," -Ensuring that the monthly post paid bills are ready
                                 -Doing a follow-up on all the unpaid bills from subscribers
                                 -Ensuring that the debit schedule on Intercontinental bank staff 
                                  are prepared and submitted on time

",3114
956,VALUCARD PLC,MARKETER,Apr-2004,Oct-2006,NULL,NULL,2,Banking,"-Prospecting for merchants
                                 -Training of Merchants on Valucard Products
                                 -Conducting market survey and Opinion poll
                                 -Managing all P.O.S terminals
                                 -Ensuring the maximum usage of Deployed (P.O.S) terminals
                                 -Ensuring (P.O.S) materials are in place



",3114
957,DV8 Hotel,Account clerk,Oct-2009,Sep-2011,NULL,NULL,2,Finance,Daily analyzing and collating of goods/record,2042
959,TOTAL TECH LTD,Account officer,Oct-2011,-,NULL,NULL,-2011,Finance,"Preparing weekly and monthly operations reports
Comparing daily, weekly and monthly records to determine company’s 
Performance
Advice management on market performance and ways of improving sales 
Co-ordinate staff activities and assign job performance
",2042
960,sweeties fastfood,unit manager,Sep-2009,Jan-2012,NULL,NULL,3,Hospitality,Responsible for day to day running of the outlet,2175
961,Warri refining and petrochemical company ,Back up staff at maintenance department ,Feb-,-,NULL,NULL,0,Oil &amp; Gas,,5753
962,Flash Oil And Gas Ltd,Duty Officer,Mar-2012,Feb-2013,NULL,"Mowe,Ogun State",1,Oil &amp; Gas,Give drivers instruction on where to load and issue tickets as well as control the major day to day activities in the truck yard,4528
963,Dover Engineering Limited,Mechanical Piping Engineer,Jun-2010,-,NULL,NULL,-2010,Oil &amp; Gas,"I have 5 years cognate experience in Mechanical and Piping design engineering. The design engineering experience varies from FEED, Conceptual, Basic and Detail engineering. ",718
964,pz cussons nigeria plc,institutional sales executive,Jul-2005,Apr-2011,NULL,NULL,6,Marketing,sales and marketing of our brand of household equipments and electronics ,4263
965,Ecobank,relationship manager,Jul-2011,-,NULL,NULL,-2011,Marketing,"Deposit mobilization
Processing of credit facilities
Customers enquires
Customers relationship management
Fixed deposit mobilization
",907
966,"bendel feed and flour mill,ewu, Edo state",maintenance engineer,Nov-2008,-,NULL,NULL,-2008,Production,"To supervise the repairs,maintenance and the activities of the various sections of the maintenance crew. ",1752
967,EXXONMOBIL( Mobil Producing Nigeria Unlimited),IPES Training Scheduler,Sep-2011,Jul-2012,NULL,NULL,1,IT-Project,"As a Training Scheduler, I was responsible for the following:
         - Validation of names, User ids and email addresses of end users
         from 4 countries. Sent training invitations via email/calendar entries for
         >  122 sessions and responded to user queries
         - Assisting Trainers with Training materials, Competency
         Assessment tests, training feedback. Also tracked training attendance
         - Logistics support including arrangement for loaner laptops,
         lunch, snacks and transportation

Also responsible for generating weekly control report using SAP software


",3611
968,M. Ajagbe International Services,Safety Personnel,Jan-2011,Jun-2011,NULL,NULL,0,Hospitality,"As a Safety personnel, I was responsible for the following:


    - Induction of new employees/ Contract staff on the company’s safety
         rules and regulation.
       - Providing tool box talk weekly to employees on safety issues
         - Completion of work permits and Risk assessment form before the
         commencement of a job.
         - Ensuring that workers practice the safe act/ safe conditions.
         - Assisting the supervisor in monitoring that check lists is up to
         date.
         - Completion of KPI reports and Renewal of staff ID cards monthly.




",3611
969,Lafarge Cement WAPCO Nigeria Limited,Helpdesk 0analyst,Jun-2009,Oct-2009,NULL,NULL,0,Engineering,"As a Helpdesk Analyst, I was responsible for the following:


   - Running and sending out daily server reports.
   - Responding and assisting Users in escalating  network issues
   - Installation of network printers and changing of toners/ cartridge in
   printers.
   - Logging and tracking of all relevant incident/ service Request details.
   - Keeping users informed of the status of services, incidents and
   requests

",3611
970,"UNTH ITUKU/OZALLA, ENUGU",Dietetic Intern,Sep-2010,Oct-2011,NULL,NULL,1,Medical,Dietetics:Use of food/diet in the management of diseases.,6145
971,SOFT DESIGN,ENGINEER,Jul-1954,May-1969,NULL,NULL,15,Finance,WORKING IN THE  INTERNET,4781
972,NYSC,Teaching,Jan-2012,Oct-2012,NULL,NULL,0,Education,Impartation of knowledge to the students.I also organized quiz and debate among the students,809
976,Firstbank Nigeria PLC,Transaction Officer,Apr-2008,Jan-2011,NULL,NULL,3,Banking,"Duties:
1.	Paying customer’s cheque on a daily basis
2.	Receiving and posting customers deposit
3.	Posting of bank drafts and bank cheques



DRY TELLER/ASSISTANT HEAD TELLER
Duties:
1.	Receiving and posting all in-house cheques
2.	Receiving confirmation letters from customers
3.	Receiving and processing other banks cheques
4.	Processing of dividend warrant
5.	Processing of funds transfer etc
",5453
977,Whiterock Bureau De Change ltd (Subsidiary of Aquila Capital),Accounting Officer,Feb-2007,Jul-2008,NULL,NULL,1,Finance,"•	Preparation of monthly financial statement – Management Account
•	Analysis of various expenses and posting of accounts
•	Bank Reconciliations
•	Preparation of monthly returns to CBN
•	Accurate Data recording of Day to Day financial activities
•	Proper Filing and keeping of clients data
",5453
980,ShipBulk Marine Services Ltd,Marine Logistics Cordinator,Oct-2012,-,NULL,NULL,-2012,Oil &amp; Gas,,5423
981,dabol innovations,safety engineer,Oct-2011,Jun-2012,NULL,NULL,1,Oil &amp; Gas,"•	Prepared project specific Health, Safety & Environment plan, Procedures and Safety checklists for oil and gas project.
•	Ensured correct actions were taken to mitigate and/or eliminate unsafe condition, operation, or hazard.
•	Performed assessment of engineering controls and PPE.
",4203
979,Heritage House Montessori Centre,Account Officer,Aug-2005,Jan-2007,NULL,NULL,2,Finance,"?	Bank Reconciliations
?	Preparation of Staff payroll
?	Handling petty cash expenses
?	Proper documentation of customers data
?	General administrative duties
?	Bank deposit on a daily basis
",5453
974,StanbicIBTC Bank,Frontline Service,Dec-2011,-,NULL,NULL,-2011,Banking,"•	Attend to cashing of cheques, savings withdrawals etc, according to laid-down instructions.
•	Attend to customers enquires.
•	Attend and process E-payment transactions i.e DSTV, PHCN,SAA, FIRS, NCS etc
•	Attend to forex cash transactions within own limit.
•	Accept cash and cheque deposits, according to laid-down instructions. 
•	Ensure correct Deposit Slips have been completed. Cash Only - Form 02049799 and Cheques Only – Form 02049786.
•	Attend to change transactions.
•	Ensure that all items cashed are within laid-down limits and refer items exceeding limits to the appropriate area for authorisation.
•	Ensure that items cashed are technically correct and signed, according to laid-down instructions. 
•	Ensure that all cashed items are correctly recorded.
•	Record details of cash breakdowns for all major change transactions as well as cheques and other items cashed.

Control of cash

•	Ensure that all laid-down instructions regarding the handling, locking away and security of cash are adhered to.
•	Ensure that own cash holdings are kept within prescribed limits.
•	Count and balance own cash daily and record in Tellers Cash Balance Book.  
•	Report all differences in cash daily.
•	Sign the Locking Away Record 00006871 daily.
•	Ensure that no unauthorised items are held as cash.
Reactive Selling 

•	Identify cross-selling and migration opportunities and sell products/service reactively.
•	Participate in tactical sales/marketing activities as required.

Routine

•	Sort vouchers into laid-down sequences and place in waste receptacles on completion of each transaction. 
•	Attend to related customer queries.
•	Ensure that “Duty of Care” requirements are adhered to.
•	Read Special Alert Circulars.
",5453
975,"Foursquare Gospel Church, Alaka District Headquaters",Personnal Assistant to the District Overseer,Feb-2011,Nov-2011,NULL,NULL,0,Secreatry,"
.	Maintain the Office of the District Overseer
.	Attend to Visitors 
.	Prepare minutes of meetings 
.	Prepare Monthly financial reports
.	Answer phone calls and reschedule meetings
.	Protocol
.	Always with the District Overseer on official functions
.	Any other duties as assigned by the District Overseer
",5453
982,Mr.Mark ,Banksman,Jan-2011,Nov-2011,NULL,NULL,0,Engineering,Giving assistance to the crane operator,252
983,Ashford &Mcquire Consulting,Secretary/Personal Assistant to Chairman(Mr. Felix Ohiwerei),Mar-2011,Feb-2013,NULL,NULL,2,HR,"Designation:  PA to The Chairman - Mr. Felix Ohiwerei  -  (The Chairman ARM Ltd, Fidson Healthcare Plc, e-Tranzact Int’l Ltd, Bankers Warehouse Ltd, Coates Brothers (W.A.) Ltd), Ashford & Mcquire Consulting, Jubilee-Life  Saving & Loans Ltd.
        Duties 
?	Diary management and coordinating of travel arrangement
?	Arrange venue of the board meetings 
?	Handling Chairman’s e-mail  (internet) and reply to the same if need be
?	Supervising the office assistant on filing of documents
?	Office project management
?	Interfacing between the Company Secretary and the MDs of other companies Chaired from our office 
?	Receiving Internal and External memo for  the Chairman
?	Providing Administrative and Managing  the Chairman’s office
?	Other traditional PA duties as required.
",1334
984,Bank PHB( Now KeyStone Bank),Admin Officer/Secretary/Fund Transfer Officer & Personal Assistant,Jun-2008,Mar-2011,NULL,NULL,3,HR,"I worked at various Units in the Bank like;  Branch Admin Officer, Fund Transfer Officer, Personal Assistant to the Regional Director and also as a Teller",1334
985,Intercontinental Bank plc/Access Bank plc,branch control officer,Jan-2011,Jan-2012,NULL,NULL,1,Finance,Review of branch operations and internal control checks.,5366
986,Nigerian bottling company,Microbiologist product analyst,Mar-2009,Sep-2010,NULL,NULL,1,Production,Conducting the microbial analysis of finished products and also ensuring that all manufacturing and allied processes are in confirmance with the company's and statutory standards and requirements.,1619
987,Emma Bolts ventures,Sales Manager,Oct-2008,Dec-2010,NULL,NULL,2,Finance," 	Procurement, sales and suppliers of all kinds of car batteries, raw acids, electrolytes, distilled water, bolts & nuts, screws, washers threaded rods, tools and general motor spare parts.
 	Production of electrolytes from raw acid and maintenance and servicing of car batteries.
",3591
988,Emma Bolts ventures,Sales Manager,Oct-2008,Dec-2010,NULL,NULL,2,Marketing," 	Procurement, sales and suppliers of all kinds of car batteries, raw acids, electrolytes, distilled water, bolts & nuts, screws, washers threaded rods, tools and general motor spare parts.
 	Production of electrolytes from raw acid and maintenance and servicing of car batteries.
",3591
989,Emma Bolts ventures,Sales Manager,Oct-2008,Dec-2010,NULL,NULL,2,Finance," 	Procurement, sales and suppliers of all kinds of car batteries, raw acids, electrolytes, distilled water, bolts & nuts, screws, washers threaded rods, tools and general motor spare parts.
 	Production of electrolytes from raw acid and maintenance and servicing of car batteries.
",3591
990,Quiz2own Nigeria Limited,Marketing Supervisor ,Feb-2011,Apr-2012,NULL,NULL,1,Marketing," 	To access, coordinate and control all the activities of the marketing members assign to me during the marketing outreach.
 	To inform the management with all the field reports gathered from each marketing members during the marketing outreach.
",3591
991,El - Darl Engineering Portharcourt,Site Engineer,Jan-2012,-,NULL,NULL,-2012,Finance,"supervising contracted staff.
managing construction projects.
setting out sites and organising facilities,
checking and preparing site reports.
ordering and negotiating the price of materials.
ensuring site safety.",2871
993,FERMA Kaduna,Assistant PRE,Mar-2009,Jan-2012,NULL,NULL,3,Engineering,"supervising contracted staff.
managing construction projects.
setting out sites and organising facilities,
checking and preparing site reports.
ordering and negotiating the price of materials.
ensuring site safety.",2871
994,MADONNA UNIVERSITY,CIVIL ENGINEER/LECTURER II,Jan-2012,-,NULL,NULL,-2012,Site Engineering,"Lecture civil engineering courses, plan, design and analyse civil engineering infrastructures like drainages , culverts and roads for the university, i.e work with the technical team, physical planning unit",1503
995,National Youth Service corps,Computer Instructor,Nov-2011,Oct-2012,NULL,NULL,1,HR,"As a Computer Instructor,I was saddled with the responsibility of training the Students on how to Operate the Computer System.

",3889
996,Coca Cola,Supervisor,Jan-2010,Feb-2013,NULL,NULL,3,Food,"1.	Drive distribution
2.	Identify and develop new outlets
3.	Developing strategies for market penetration with most emphasis on achieving sales
4.	Member of an elite team of employees selected to revert the sagging sales on 5alive and Cappy Juice only 10% of the outlets sell juice in Lagos: the Lagos market consequently grew  by over 70% in 3 months

",3109
997,linkserve limited,field/support  engineer,May-2008,Feb-2013,NULL,NULL,5,Telecoms,"Installation of VSAT, Networking and Configuration of Cisco routers, Cisco Access point,Servers,systems and so on. Installations of white interactive board by Smart technology.",5032
998,PETROSTUFF NIGERIA LTD		,Secretary/Admin Officer,Feb-2006,-,NULL,NULL,-2006,Secreatry,"?	Manage the filling, storage and security of documents
?	Manage the repair and maintenance of computer and office equipments
?	Respond to inquires
?	Personal assistance to the CEO
?	Handles all confidential Files and Company Documents
?	Represent Petrostuff at contracts renewal meetings
?	Develop Business Improvement Strategies 
?	Customers relations management
?	Procurement activities, Online Bidding, Preparation of Company Invoices
",1133
999,Jaf Engineering Ltd,Site Engr,Mar-2011,Dec-2012,NULL,NULL,1,Finance,,2231
1000,Jaf Engineering Ltd,Site Engr,Mar-2011,Dec-2012,NULL,NULL,1,Site Engineering,"site maintenance,installation of ATS panels etc",2231
1001,chams plc,technical assistance/ maintenance,Feb-2000,Feb-2013,NULL,NULL,13,Engineering,facility maintenance,2270
1002,"THE LONDON MARKERTING COMPANY, 42 OLOWU STREET, IKEJA, LAGOS.",Marketer,Feb-2009,Jun-2009,NULL,NULL,0,Marketing,"Introduction of goods to prospective clients.
Sale of goods to clients.",2433
1003,John Holt Plc,Service Engineer,Jun-2008,Jun-2012,NULL,NULL,4,Production,"1. installation and maintenance of diesel generators.
2.Site inspection and development of power system solution.
3. Load analysis and gen set sizing.
4. Commissioning of generating set
5. Co-ordination of technical team for their routine jobs 
6. Troubleshooting of generator set using EST and EDI system software.
7. Meeting with customers.",1809
1005,JMG Limited,Quality Control Engineer,Jun-2012,Jan-2013,NULL,NULL,1,Production,"1. Testing and quality documentations of Lister Petter and Perkins generating set
2. Configuration and Programming of generating set control module
3. Load analysis and gen set sizing
4. Disseminating duties to technicians and trainees",1809
1008,Darycet International Limited,Design Engineer,Jan-2011,-,NULL,NULL,-2011,Engineering,,1129
1009,Banker ,"1 year Industrial Training with Skye bank plc, Katsina branch",Sep-2011,Sep-2012,NULL,NULL,1,Banking,I finished my Industrial training so that now I 'm seeking for a job to do.   Thanks u for kind consideration ,5083
1010,Global Marine Limited Apapa,Industrial trainee,Nov-2009,Jan-2010,NULL,NULL,1,Production,Servicing of liferafts and other life-saving equipment.,2023
1011,National Youth Service Corp,Education,Nov-2011,Nov-2012,NULL,NULL,1,Education,"Employ to teach Biology and Home Economics at Comprehensive Secondary School , Opobo. Opobo/Nkoro LGA. Rivers State. Nigeria",3594
1012,National Youth Service Corp,Education,Nov-2011,Nov-2012,NULL,NULL,1,Education,"Employ to teach Biology and Home Economics at Comprehensive Secondary School , Opobo. Opobo/Nkoro LGA. Rivers State. Nigeria",3594
1013,"MANDATE INTERNATIONAL COLLEGE, ALADE - IDANRE",TEACHING,Jul-2000,Feb-2009,NULL,NULL,9,Education,PHYSICS AND MATHEMATICS TEACHER,1668
1014,ZUMA 828 COAL LIMITED,ENGINEER II MINES,Dec-2010,Feb-2013,NULL,NULL,3,Site Engineering,"•	Conducting studies of mineral deposits to determine the size of ore   
            deposits and their orientation and mineral content.

•	Reviewing maps and drilling logs to determine location, size, accessibility and estimated value of coal deposit

•	Determine methods to extract minerals, considering factors such as safety, operational cost, deposit characteristics, overburden depth and surrounding strata.

•	Planning, recommending and coordinating the mining process, type and capacity of haulage equipment such as power shovels and trucks and labour utilization.

•	Designing, implementing, and monitoring facility projects such as water and power supply, ventilation system, rock-dust, drainage, conveyor belt systems and grading.

•	Planning layouts, water disposal dumps, haulage routes and methods, mine ventilation systems and drainage systems.

•	Developing computer applications for use in various phases of mine operations
",1668
1015,Airtel Nigeria Limited,Customer Support Representative,Jun-2009,Oct-2012,NULL,NULL,3,Finance,Peovide customers' with detail & accurate information on company's product & services,2434
1016,Dominion Partners Limited,Administrative Officer,Aug-2005,Dec-2006,NULL,NULL,1,Finance,Provide general Administrative work.                                                Cordinate cleaaners & other support staff to ensure toilet is clean at all times & toiletries are always available.                              Ensure that company's facilities are in good order & repaired when the need arise.,2434
1017,Airtel Nigeria,Customer Support Representative,Jun-2009,Oct-2012,NULL,NULL,3,Telecoms,Provide Detail and Accurate information to Customers on the company's products and services,6091
1018,MR AMINU,DATABASE MANAGER,Aug-2010,Mar-2011,NULL,NULL,1,IT-Software,WORKED WITH NATIONAL POPULATION COMMISSION IN ZONE 4 ABUJA WHERE I WORKED AS A DATABASE MANAGER,5213
1019,contenantal civil works limited,business development officer,Apr-2010,Dec-2012,NULL,NULL,2,Construction,,4142
1020,Fresh Graduate,Nil,-,-,NULL,NULL,0,Finance,,2084
1021,MACFIHN,DAILY ISSUED RECORD (DIR),Mar-2011,Feb-2012,NULL,NULL,1,Engineering,DAILY ISSUE RECORD OF FULLS DRINK MOVE OUT OF THE BREWARY. AND RECONCILATION OF SAP WITH WAREHOUSE SUPERVISOR.,3780
1022,DANA MOTORS WORLDWIDE,ACCOUNTS,Oct-2012,-,NULL,NULL,-2012,Finance,"?	Effective imprest funds Management
?	Effective finance Management 
?	Preparation of daily imprest report
?	Keeping track records of staff debts
?	Cash disbursement
?	Cash payment and refunds 
?	Banking Transactions
?	Stock taking
?	Bills payment",1424
1024,ATLAS MICRO FINANCE BANK,RELATIONSHIP OFFICER,Feb-2011,Apr-2012,NULL,NULL,1,Finance,"?	Marketing and selling of Atlas Microfinance Bank consumer products, deposit, term loan and overdraft to new and existing customers.
?	Keeping track records of customers’ loan and disbursement proceedings 
?	Customer Relationship Management 
?	Loans appraisal
?	Customers Appraisal (KYC)
?	Tellering
   loan recovery",1424
1025,Integrated logistic services (Intels),safety /fire officer,Jun-2009,-,NULL,NULL,-2009,Engineering,"*Directs and Control effort during fire;plan attack on fire and establishes communication.
*Possess detailed knowledge of fire behaviour and fire fighting skills and suppression methods and techniques.
*Performs all neccessary emergency response duties include fire control and extinction,basic search and rescue.
*Carries out inspection and maintenance of fire fighting equipment and fire alarm systems in the company facilities.
*Carries our basic loss prevention duties by ensuring adequate inspection and maintenance of fire extinguishers in the company facilities.",2868
